Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Einkaufssumme,Fertiggerichte,Tiefkuehlware,Milchprodukte,Backwaren,Obst/Gemuese,Spirituosen,Tiernahrung,Bier,Frischfleisch,Drogerieartikel,Konserven,Kaffee/Tee,Suessigkeiten,Wurstwaren,Schreibwaren
w,>60,nein,ledig,nein,Montag,<10 Uhr,< 10 km,<1000,333,0,0,0,79,0,10,213,0,0,0,12,19,0,0,0
m,18-30,nein,Partnerschaft,ja,Samstag,14-17 Uhr,< 10 km,1000-<2000,297,0,0,0,16,0,77,171,14,0,6,0,0,0,0,13
w,>60,nein,ledig,nein,Samstag,<10 Uhr,10 - 25 km,3200-<4500,265,0,0,0,40,88,13,62,0,0,0,0,32,8,0,22
w,18-30,nein,ledig,ja,Samstag,10-12 Uhr,10 - 25 km,1000-<2000,226,0,48,0,0,0,0,0,0,0,0,0,90,88,0,0
w,18-30,nein,ledig,ja,Donnerstag,10-12 Uhr,< 10 km,1000-<2000,138,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
m,18-30,ja,ledig,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,180,2,0,0,9,6,19,0,48,12,0,0,70,0,0,14
w,18-30,nein,ledig,nein,Montag,12-14 Uhr,10 - 25 km,1000-<2000,122,0,0,15,0,0,0,60,39,0,0,0,0,8,0,0
m,>60,nein,Partnerschaft,nein,Mittwoch,10-12 Uhr,< 10 km,1000-<2000,115,12,0,0,11,0,0,0,0,0,0,0,12,70,0,10
w,18-30,ja,ledig,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,282,0,0,0,0,0,65,0,70,0,36,12,0,99,0,0
w,>60,ja,ledig,nein,Freitag,>17 Uhr,10 - 25 km,2000-<3200,429,20,0,0,8,26,14,9,135,0,0,0,193,0,0,24
m,41-50,nein,Partnerschaft,nein,Samstag,12-14 Uhr,10 - 25 km,<1000,104,7,10,0,0,0,0,0,0,0,20,0,16,39,0,12
w,18-30,nein,ledig,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,41-50,nein,ledig,ja,Samstag,<10 Uhr,> 25 km,>4500,228,3,0,0,36,0,0,0,189,0,0,0,0,0,0,0
m,41-50,nein,ledig,ja,Freitag,12-14 Uhr,< 10 km,1000-<2000,101,8,0,0,35,0,28,0,0,28,0,0,0,0,0,2
m,18-30,ja,ledig,ja,Samstag,>17 Uhr,< 10 km,2000-<3200,39,4,0,0,0,0,4,0,10,7,0,0,0,0,0,14
w,>60,ja,Partnerschaft,nein,Mittwoch,<10 Uhr,10 - 25 km,3200-<4500,80,0,0,0,3,0,3,1,0,54,0,0,19,0,0,0
w,41-50,ja,ledig,nein,Samstag,<10 Uhr,< 10 km,2000-<3200,276,0,2,0,0,0,0,0,0,0,0,0,0,0,154,120
m,18-30,ja,ledig,ja,Samstag,12-14 Uhr,< 10 km,1000-<2000,395,2,40,0,36,8,7,17,108,31,0,30,0,12,99,5
m,18-30,nein,ledig,nein,Freitag,12-14 Uhr,< 10 km,1000-<2000,115,11,0,0,21,35,10,0,14,15,0,0,0,0,0,9
m,>60,nein,Partnerschaft,nein,Samstag,10-12 Uhr,< 10 km,1000-<2000,136,3,0,0,19,0,0,0,30,32,0,0,17,0,0,35
m,18-30,nein,ledig,nein,Mittwoch,<10 Uhr,10 - 25 km,>4500,361,7,10,0,0,0,12,0,0,158,0,0,0,90,0,84
m,>60,nein,ledig,nein,Samstag,<10 Uhr,10 - 25 km,1000-<2000,236,3,3,0,19,0,8,0,62,0,54,0,8,0,36,43
m,>60,nein,ledig,nein,Samstag,10-12 Uhr,10 - 25 km,3200-<4500,75,11,6,0,1,0,18,0,21,0,0,0,17,0,0,1
